Country (Country Code)
Argentina (54)
Aruba (297)
Bolivia (591)
Brazil (55)
Chile/easter Island (56)
Colombia (57)
Curacao/Netherlands Antilles (599)
Ecuador (593)
Guyana (592)
Paraguay (595)
Peru (51)
Suriname (597)
Uruguay (598)
Venezuela (58)
